,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
51198,2016,2015-16,1610612758,Sacramento Kings,201954,Darren Collison,G,PG,03-05-2016,21500928,SAS,SAC,Made Shot,True,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.6,5.45,0,4,0,14
51199,2016,2015-16,1610612758,Sacramento Kings,201954,Darren Collison,G,PG,03-05-2016,21500928,SAS,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,15.3,22.65,23,4,0,34
51202,2016,2015-16,1610612759,San Antonio Spurs,1889,Andre Miller,G,PG,03-05-2016,21500928,SAS,SAC,Made Shot,True,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-6.4,10.85,8,4,0,48
51214,2016,2015-16,1610612759,San Antonio Spurs,2564,Boris Diaw,F,PF,03-05-2016,21500928,SAS,SAC,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,5.95,1,4,1,20
51225,2016,2015-16,1610612759,San Antonio Spurs,203937,Kyle Anderson,F,SF,03-05-2016,21500928,SAS,SAC,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,5.25,1,4,1,43
51243,2016,2015-16,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,03-05-2016,21500928,SAS,SAC,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.7,10.85,5,4,1,58
51246,2016,2015-16,1610612758,Sacramento Kings,201158,Marco Belinelli,G,SG,03-05-2016,21500928,SAS,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,21.9,19.15,25,4,2,28
51247,2016,2015-16,1610612759,San Antonio Spurs,202695,Kawhi Leonard,F,SF,03-05-2016,21500928,SAS,SAC,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,2,39
51253,2016,2015-16,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,03-05-2016,21500928,SAS,SAC,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.0,5.95,2,4,2,57
51263,2016,2015-16,1610612759,San Antonio Spurs,202695,Kawhi Leonard,F,SF,03-05-2016,21500928,SAS,SAC,Made Shot,True,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-7.8,6.05,7,4,3,21
51269,2016,2015-16,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,03-05-2016,21500928,SAS,SAC,Missed Shot,False,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.5,8.85,5,4,3,36
51276,2016,2015-16,1610612759,San Antonio Spurs,201988,Patty Mills,G,PG,03-05-2016,21500928,SAS,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.4,31.45,26,4,3,45
51278,2016,2015-16,1610612759,San Antonio Spurs,2225,Tony Parker,G,PG,03-05-2016,21500928,SAS,SAC,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-15.0,11.75,16,4,3,50
51281,2016,2015-16,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,03-05-2016,21500928,SAS,SAC,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.7,5.95,2,4,4,9
51285,2016,2015-16,1610612759,San Antonio Spurs,202695,Kawhi Leonard,F,SF,03-05-2016,21500928,SAS,SAC,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.6,4.65,0,4,4,19
51287,2016,2015-16,1610612758,Sacramento Kings,200752,Rudy Gay,F,SF,03-05-2016,21500928,SAS,SAC,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,14.5,27.55,26,4,4,45
51292,2016,2015-16,1610612759,San Antonio Spurs,202695,Kawhi Leonard,F,SF,03-05-2016,21500928,SAS,SAC,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-11.7,4.25,11,4,5,3
51298,2016,2015-16,1610612758,Sacramento Kings,201954,Darren Collison,G,PG,03-05-2016,21500928,SAS,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-20.4,4.65,20,4,5,17
51304,2016,2015-16,1610612759,San Antonio Spurs,202695,Kawhi Leonard,F,SF,03-05-2016,21500928,SAS,SAC,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.9,5.45,1,4,5,33
51317,2016,2015-16,1610612759,San Antonio Spurs,2561,David West,F,PF,03-05-2016,21500928,SAS,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-12.2,3.35,12,4,5,54
51323,2016,2015-16,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,03-05-2016,21500928,SAS,SAC,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,5.95,1,4,6,9
51327,2016,2015-16,1610612759,San Antonio Spurs,201988,Patty Mills,G,PG,03-05-2016,21500928,SAS,SAC,Made Shot,True,Jump Bank Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-22.2,18.65,25,4,6,27
51340,2016,2015-16,1610612758,Sacramento Kings,201158,Marco Belinelli,G,SG,03-05-2016,21500928,SAS,SAC,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,6,45
51349,2016,2015-16,1610612758,Sacramento Kings,201158,Marco Belinelli,G,SG,03-05-2016,21500928,SAS,SAC,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.7,5.95,1,4,7,16
51352,2016,2015-16,1610612759,San Antonio Spurs,202695,Kawhi Leonard,F,SF,03-05-2016,21500928,SAS,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-16.6,24.75,25,4,7,22
51355,2016,2015-16,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,03-05-2016,21500928,SAS,SAC,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.4,4.65,2,4,7,47
51357,2016,2015-16,1610612759,San Antonio Spurs,1626246,Boban Marjanovic,C,C,03-05-2016,21500928,SAS,SAC,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,7,59
51366,2016,2015-16,1610612758,Sacramento Kings,201956,Omri Casspi,F,PF,03-05-2016,21500928,SAS,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.7,10.35,23,4,8,23
51371,2016,2015-16,1610612759,San Antonio Spurs,1889,Andre Miller,G,PG,03-05-2016,21500928,SAS,SAC,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,4.75,0,4,8,44
51377,2016,2015-16,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,03-05-2016,21500928,SAS,SAC,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.6,5.15,1,4,8,50
51389,2016,2015-16,1610612759,San Antonio Spurs,1626246,Boban Marjanovic,C,C,03-05-2016,21500928,SAS,SAC,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,7.05,1,4,9,17
51397,2016,2015-16,1610612758,Sacramento Kings,201158,Marco Belinelli,G,SG,03-05-2016,21500928,SAS,SAC,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-18.2,13.95,20,4,9,31
51408,2016,2015-16,1610612758,Sacramento Kings,201158,Marco Belinelli,G,SG,03-05-2016,21500928,SAS,SAC,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.9,23.55,24,4,10,15
51422,2016,2015-16,1610612759,San Antonio Spurs,2564,Boris Diaw,F,PF,03-05-2016,21500928,SAS,SAC,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,5.45,0,4,10,28
51428,2016,2015-16,1610612758,Sacramento Kings,201956,Omri Casspi,F,PF,03-05-2016,21500928,SAS,SAC,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,10,58
51437,2016,2015-16,1610612758,Sacramento Kings,1626161,Willie Cauley-Stein,C,C,03-05-2016,21500928,SAS,SAC,Missed Shot,False,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,1.1,11.45,6,4,11,12
51441,2016,2015-16,1610612759,San Antonio Spurs,201988,Patty Mills,G,PG,03-05-2016,21500928,SAS,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-20.2,21.15,25,4,11,34
51457,2016,2015-16,1610612759,San Antonio Spurs,203613,Jonathon Simmons,G,SG,03-05-2016,21500928,SAS,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Backcourt,Back Court,BC,Back Court Shot,-15.0,53.35,50,3,0,0
51464,2016,2015-16,1610612758,Sacramento Kings,1626161,Willie Cauley-Stein,C,C,03-05-2016,21500928,SAS,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-15.8,5.55,15,3,0,1
51487,2016,2015-16,1610612759,San Antonio Spurs,1938,Manu Ginobili,G,SG,03-05-2016,21500928,SAS,SAC,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,5.95,0,3,0,9
51490,2016,2015-16,1610612758,Sacramento Kings,201956,Omri Casspi,F,PF,03-05-2016,21500928,SAS,SAC,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,3,0,28
51515,2016,2015-16,1610612758,Sacramento Kings,1626161,Willie Cauley-Stein,C,C,03-05-2016,21500928,SAS,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-8.4,22.15,18,3,1,14
51518,2016,2015-16,1610612759,San Antonio Spurs,1938,Manu Ginobili,G,SG,03-05-2016,21500928,SAS,SAC,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-12.3,8.05,12,3,1,24
51520,2016,2015-16,1610612758,Sacramento Kings,203112,Quincy Acy,F,PF,03-05-2016,21500928,SAS,SAC,Made Shot,True,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,4.65,1,3,1,46
51529,2016,2015-16,1610612759,San Antonio Spurs,2225,Tony Parker,G,PG,03-05-2016,21500928,SAS,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.7,3.75,23,3,2,10
51534,2016,2015-16,1610612758,Sacramento Kings,201956,Omri Casspi,F,PF,03-05-2016,21500928,SAS,SAC,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,7.35,2,3,2,22
51536,2016,2015-16,1610612758,Sacramento Kings,201956,Omri Casspi,F,PF,03-05-2016,21500928,SAS,SAC,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.1,10.85,5,3,2,23
51553,2016,2015-16,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,03-05-2016,21500928,SAS,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.5,25.05,24,3,2,57
51572,2016,2015-16,1610612759,San Antonio Spurs,202695,Kawhi Leonard,F,SF,03-05-2016,21500928,SAS,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-19.7,20.65,25,3,3,46
51583,2016,2015-16,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,03-05-2016,21500928,SAS,SAC,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.4,30.65,25,3,4,1
51584,2016,2015-16,1610612759,San Antonio Spurs,1938,Manu Ginobili,G,SG,03-05-2016,21500928,SAS,SAC,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-1.0,18.85,13,3,4,12
51590,2016,2015-16,1610612759,San Antonio Spurs,1938,Manu Ginobili,G,SG,03-05-2016,21500928,SAS,SAC,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.4,4.15,1,3,4,39
