,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
85908,2020,2019-20,1610612766,Charlotte Hornets,1626195,Willy Hernangomez,C,C,01-10-2020,21900574,UTA,CHA,Made Shot,True,Jump Bank Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.36,7.885,25,4,0,25
85914,2020,2019-20,1610612766,Charlotte Hornets,1628407,Dwayne Bacon,G,SG,01-10-2020,21900574,UTA,CHA,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.45,6.635,9,4,0,50
85927,2020,2019-20,1610612766,Charlotte Hornets,1626195,Willy Hernangomez,C,C,01-10-2020,21900574,UTA,CHA,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.14,5.955,2,4,1,9
85928,2020,2019-20,1610612762,Utah Jazz,1629752,Juwan Morgan,F,PF,01-10-2020,21900574,UTA,CHA,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.22,5.825,2,4,1,16
85938,2020,2019-20,1610612762,Utah Jazz,1629752,Juwan Morgan,F,PF,01-10-2020,21900574,UTA,CHA,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.74,6.015,7,4,1,46
85945,2020,2019-20,1610612766,Charlotte Hornets,203077,Michael Kidd-Gilchrist,F,PF,01-10-2020,21900574,UTA,CHA,Missed Shot,False,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.54,6.245,7,4,1,59
85952,2020,2019-20,1610612766,Charlotte Hornets,201587,Nicolas Batum,F,SF,01-10-2020,21900574,UTA,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.7899999999999998,7.655,25,4,2,9
85958,2020,2019-20,1610612762,Utah Jazz,1629752,Juwan Morgan,F,PF,01-10-2020,21900574,UTA,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.23,5.905,22,4,2,20
85965,2020,2019-20,1610612766,Charlotte Hornets,1628407,Dwayne Bacon,G,SG,01-10-2020,21900574,UTA,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.7399999999999998,7.615,25,4,2,42
86003,2020,2019-20,1610612762,Utah Jazz,1627777,Georges Niang,F,PF,01-10-2020,21900574,UTA,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.69,7.515,24,4,3,46
86014,2020,2019-20,1610612766,Charlotte Hornets,1626195,Willy Hernangomez,C,C,01-10-2020,21900574,UTA,CHA,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.18,6.025,3,4,4,1
86018,2020,2019-20,1610612762,Utah Jazz,1626144,Emmanuel Mudiay,G,PG,01-10-2020,21900574,UTA,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.58,7.565,23,4,4,17
86041,2020,2019-20,1610612762,Utah Jazz,203903,Jordan Clarkson,G,SG,01-10-2020,21900574,UTA,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.3,5.975,23,4,4,47
86046,2020,2019-20,1610612766,Charlotte Hornets,203077,Michael Kidd-Gilchrist,F,PF,01-10-2020,21900574,UTA,CHA,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.02,6.865,10,4,5,3
86047,2020,2019-20,1610612762,Utah Jazz,203903,Jordan Clarkson,G,SG,01-10-2020,21900574,UTA,CHA,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.02,5.915,1,4,5,21
86053,2020,2019-20,1610612766,Charlotte Hornets,1628998,Cody Martin,F,SF,01-10-2020,21900574,UTA,CHA,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,5.985,2,4,5,39
86054,2020,2019-20,1610612762,Utah Jazz,203903,Jordan Clarkson,G,SG,01-10-2020,21900574,UTA,CHA,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,0.55,6.465,8,4,5,55
86060,2020,2019-20,1610612766,Charlotte Hornets,1628998,Cody Martin,F,SF,01-10-2020,21900574,UTA,CHA,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.52,7.895,26,4,6,8
86066,2020,2019-20,1610612762,Utah Jazz,1626144,Emmanuel Mudiay,G,PG,01-10-2020,21900574,UTA,CHA,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.02,6.035,2,4,6,15
86072,2020,2019-20,1610612766,Charlotte Hornets,201587,Nicolas Batum,F,SF,01-10-2020,21900574,UTA,CHA,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.52,7.465,17,4,6,21
86076,2020,2019-20,1610612766,Charlotte Hornets,1626195,Willy Hernangomez,C,C,01-10-2020,21900574,UTA,CHA,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.25,5.855,2,4,6,44
86083,2020,2019-20,1610612762,Utah Jazz,202334,Ed Davis,C,C,01-10-2020,21900574,UTA,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.19,5.775,1,4,6,58
86089,2020,2019-20,1610612766,Charlotte Hornets,1628970,Miles Bridges,F,SF,01-10-2020,21900574,UTA,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.99,7.465,26,4,7,13
86093,2020,2019-20,1610612762,Utah Jazz,1626144,Emmanuel Mudiay,G,PG,01-10-2020,21900574,UTA,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.61,7.665,24,4,7,31
86104,2020,2019-20,1610612766,Charlotte Hornets,201587,Nicolas Batum,F,SF,01-10-2020,21900574,UTA,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.8099999999999999,8.365,27,4,7,55
86108,2020,2019-20,1610612762,Utah Jazz,1629752,Juwan Morgan,F,PF,01-10-2020,21900574,UTA,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.31,5.665,23,4,8,3
86124,2020,2019-20,1610612766,Charlotte Hornets,1626195,Willy Hernangomez,C,C,01-10-2020,21900574,UTA,CHA,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,0.6799999999999999,6.265000000000001,8,4,8,22
86128,2020,2019-20,1610612762,Utah Jazz,203903,Jordan Clarkson,G,SG,01-10-2020,21900574,UTA,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.23,5.885,22,4,8,41
86134,2020,2019-20,1610612766,Charlotte Hornets,1628970,Miles Bridges,F,SF,01-10-2020,21900574,UTA,CHA,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.63,5.845,6,4,8,57
86137,2020,2019-20,1610612762,Utah Jazz,1627777,Georges Niang,F,PF,01-10-2020,21900574,UTA,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.01,8.335,25,4,9,21
86146,2020,2019-20,1610612766,Charlotte Hornets,1626195,Willy Hernangomez,C,C,01-10-2020,21900574,UTA,CHA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.5,7.995,22,4,9,38
86151,2020,2019-20,1610612762,Utah Jazz,1629730,Rayjon Tucker,G,SG,01-10-2020,21900574,UTA,CHA,Missed Shot,False,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.39,7.025,13,4,9,47
86193,2020,2019-20,1610612762,Utah Jazz,1626144,Emmanuel Mudiay,G,PG,01-10-2020,21900574,UTA,CHA,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.19,5.695,2,4,10,11
86209,2020,2019-20,1610612762,Utah Jazz,1628396,Tony Bradley,C,C,01-10-2020,21900574,UTA,CHA,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.16,5.825,1,4,10,32
86219,2020,2019-20,1610612766,Charlotte Hornets,203469,Cody Zeller,C,C,01-10-2020,21900574,UTA,CHA,Missed Shot,False,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.42,6.255,6,4,10,39
86225,2020,2019-20,1610612762,Utah Jazz,1627777,Georges Niang,F,PF,01-10-2020,21900574,UTA,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.31,6.205,23,4,11,1
86234,2020,2019-20,1610612766,Charlotte Hornets,101107,Marvin Williams,F,PF,01-10-2020,21900574,UTA,CHA,Missed Shot,False,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.34,6.105,23,4,11,14
86243,2020,2019-20,1610612766,Charlotte Hornets,1626179,Terry Rozier,G,PG,01-10-2020,21900574,UTA,CHA,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.23,5.895,2,4,11,37
86276,2020,2019-20,1610612766,Charlotte Hornets,1628984,Devonte' Graham,G,PG,01-10-2020,21900574,UTA,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-1.14,9.415,38,3,0,0
86283,2020,2019-20,1610612762,Utah Jazz,1628378,Donovan Mitchell,G,SG,01-10-2020,21900574,UTA,CHA,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.52,7.725,24,3,0,4
86293,2020,2019-20,1610612766,Charlotte Hornets,203469,Cody Zeller,C,C,01-10-2020,21900574,UTA,CHA,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.05,5.905,1,3,0,19
86296,2020,2019-20,1610612762,Utah Jazz,1626144,Emmanuel Mudiay,G,PG,01-10-2020,21900574,UTA,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-2.18,6.915,24,3,0,33
86310,2020,2019-20,1610612766,Charlotte Hornets,203469,Cody Zeller,C,C,01-10-2020,21900574,UTA,CHA,Made Shot,True,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.38,6.085,4,3,1,2
